subject_id,session_id,condition_label,task_label,network_label,source_block,target_block,n_timepoints,block_trace_mean,block_frobenius_mean,block_anisotropy_mean,c_sym_mean,c_rot_mean
sub-S200120,ses-01,,cognitive_control,frontal,m,d,248,,1.7218199968338013,,0.9279430815722884,0.9542383484966387
sub-S200120,ses-01,,cognitive_control,frontal,m,e,248,,1.7458553314208984,,0.9150603569862319,0.9415828892128254
sub-S200120,ses-01,,cognitive_control,frontal,d,m,248,,0.6363162398338318,,0.9279430815722884,0.9542383484966387
sub-S200120,ses-01,,cognitive_control,frontal,d,d,248,-0.12217799574136734,0.8496777415275574,36.25438252018719,,
sub-S200120,ses-01,,cognitive_control,frontal,d,e,248,,0.8853185176849365,,0.6013339200640112,0.6167068369383735
sub-S200120,ses-01,,cognitive_control,frontal,e,m,248,,0.5588687658309937,,0.9150603569862319,0.9415828892128254
sub-S200120,ses-01,,cognitive_control,frontal,e,d,248,,0.7929017543792725,,0.6013339200640112,0.6167068369383735
sub-S200120,ses-01,,cognitive_control,frontal,e,e,248,-0.07630053907632828,0.7588286399841309,38.19908673346527,,
sub-S200120,ses-01,,cognitive_control,central,m,m,248,0.03363915532827377,1.0835236310958862,68.36964784114342,,
sub-S200120,ses-01,,cognitive_control,central,m,d,248,,1.1964893341064453,,0.6854929168049883,0.7111024295653754
sub-S200120,ses-01,,cognitive_control,central,m,e,248,,1.2500203847885132,,0.6976769883942798,0.6902445752809687
sub-S200120,ses-01,,cognitive_control,central,d,m,248,,0.6536597013473511,,0.6854929168049883,0.7111024295653754
sub-S200120,ses-01,,cognitive_control,central,d,d,248,-0.05797068774700165,0.8395189642906189,45.3728738383549,,
sub-S200120,ses-01,,cognitive_control,central,d,e,248,,0.8724352717399597,,0.5754099331069283,0.5871840802634635
sub-S200120,ses-01,,cognitive_control,central,e,m,248,,0.5525345206260681,,0.6976769883942798,0.6902445752809687
sub-S200120,ses-01,,cognitive_control,central,e,d,248,,0.7224152088165283,,0.5754099331069283,0.5871840802634635
sub-S200120,ses-01,,cognitive_control,central,e,e,248,-0.034849487245082855,0.7559420466423035,100.71177322205489,,
sub-S200120,ses-01,,cognitive_control,parietal_occipital,m,m,248,0.08005345612764359,1.4539717435836792,126.66134016397523,,
sub-S200120,ses-01,,cognitive_control,parietal_occipital,m,d,248,,1.7673159837722778,,0.9944364486671076,1.0076032782473214
sub-S200120,ses-01,,cognitive_control,parietal_occipital,m,e,248,,1.763029932975769,,0.9510496592497438,0.9633515307573768
sub-S200120,ses-01,,cognitive_control,parietal_occipital,d,m,248,,0.7888153791427612,,0.9944364486671076,1.0076032782473214
sub-S200120,ses-01,,cognitive_control,parietal_occipital,d,d,248,0.060430653393268585,0.9004228711128235,79.65272002394606,,
sub-S200120,ses-01,,cognitive_control,parietal_occipital,d,e,248,,1.0636377334594727,,0.6816860177531475,0.6865006272143465
sub-S200120,ses-01,,cognitive_control,parietal_occipital,e,m,248,,0.6437754034996033,,0.9510496592497438,0.9633515307573768
sub-S200120,ses-01,,cognitive_control,parietal_occipital,e,d,248,,0.8070018887519836,,0.6816860177531475,0.6865006272143465
sub-S200120,ses-01,,cognitive_control,parietal_occipital,e,e,248,-0.0037331387866288424,0.7958402633666992,32.283185052677865,,
sub-S200120,ses-01,,cognitive_control,temporal,m,m,248,0.015691980719566345,0.8260833024978638,87.64282377367097,,
sub-S200120,ses-01,,cognitive_control,temporal,m,d,248,,0.9689939022064209,,0.6747639357922522,0.6984541285328749
sub-S200120,ses-01,,cognitive_control,temporal,m,e,248,,0.9618082046508789,,0.5683932421289808,0.6102314940313014
sub-S200120,ses-01,,cognitive_control,temporal,d,m,248,,0.9148340225219727,,0.6747639357922522,0.6984541285328749
sub-S200120,ses-01,,cognitive_control,temporal,d,d,248,-0.007494067773222923,0.9877776503562927,71.76278857002413,,
sub-S200120,ses-01,,cognitive_control,temporal,d,e,248,,0.9971766471862793,,0.618882552395022,0.6424235053421036
sub-S200120,ses-01,,cognitive_control,temporal,e,m,248,,0.6241195797920227,,0.5683932421289808,0.6102314940313014
sub-S200120,ses-01,,cognitive_control,temporal,e,d,248,,0.7113586068153381,,0.618882552395022,0.6424235053421036
sub-S200120,ses-01,,cognitive_control,temporal,e,e,248,0.011857548728585243,0.725763738155365,65.01301620355467,,
sub-S200120,ses-01,,gambling,frontal,m,m,896,-0.05963382124900818,1.1815693378448486,125.4939648019654,,
sub-S200120,ses-01,,gambling,frontal,m,d,896,,1.3801723718643188,,0.8859569302341282,0.8988222716505362
sub-S200120,ses-01,,gambling,frontal,m,e,896,,1.0827208757400513,,0.7548858788556168,0.7690687894621151
sub-S200120,ses-01,,gambling,frontal,d,m,896,,1.0298261642456055,,0.8859569302341282,0.8988222716505362
sub-S200120,ses-01,,gambling,frontal,d,d,896,-0.0904233381152153,1.1652063131332397,77.34477364603572,,
sub-S200120,ses-01,,gambling,frontal,d,e,896,,0.9526920914649963,,0.7536042469493228,0.7605456713195349
